,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lagoa,0,PT,1566515815,61,37.14,-8.45,299.15,2.6
1,Carnarvon,15,ZA,1566515785,25,-30.97,22.13,287.9,3.85
2,Mataura,77,NZ,1566515711,86,-46.19,168.86,283.71,0.89
3,Ushuaia,40,AR,1566515774,75,-54.81,-68.31,278.15,1.5
4,Bambous Virieux,40,MU,1566515823,94,-20.34,57.76,293.15,3.6
5,Linxia,93,CN,1566515824,87,35.6,103.21,285.7,0.78
6,Manadhoo,100,MV,1566515825,79,5.77,73.38,300.7,5.59
7,San Carlos de Bariloche,0,AR,1566515827,83,-41.13,-71.31,281.15,3.1
8,Sibu,75,MY,1566515828,94,2.29,111.83,297.15,2.1
9,Rio Gallegos,0,AR,1566515830,75,-51.62,-69.22,279.15,1.5
10,Sabha,0,LY,1566515831,24,27.03,14.43,299.3,5.03
11,Bani,24,YE,1566515832,86,16.02,42.93,302.6,2.47
12,Punta Arenas,40,CL,1566515703,81,-53.16,-70.91,279.15,3.1
13,Dikson,94,RU,1566515835,83,73.51,80.55,280.9,5.64
14,Xining,100,CN,1566515836,85,36.62,101.77,284.5,1.09
15,Jamestown,0,AU,1566515837,63,-33.21,138.6,285.8,4.21
16,Vila do Maio,75,CV,1566515839,69,15.13,-23.22,299.15,4.6
17,Ponta do Sol,4,BR,1566515807,71,-20.63,-46.0,291.6,2.43
18,Albany,75,US,1566515621,56,42.65,-73.75,298.15,3.1
19,Inta,97,RU,1566515842,90,66.04,60.13,283.2,2.17
20,Rikitea,70,PF,1566515798,86,-23.12,-134.97,296.8,8.74
21,Ribeira Grande,0,PT,1566515845,90,38.52,-28.7,296.4,3.38
22,Itarema,5,BR,1566515846,82,-2.92,-39.92,296.3,2.24
23,Hithadhoo,100,MV,1566515847,67,-0.6,73.08,301.3,1.08
24,Hilo,1,US,1566515848,58,19.71,-155.08,304.15,4.1
25,Bonwapitse,0,BW,1566515850,47,-23.08,26.7,284.4,1.55
26,Iquitos,40,PE,1566515851,70,-3.75,-73.25,302.15,2.1
27,Imbituba,75,BR,1566515782,77,-28.24,-48.67,288.15,4.6
28,Bredasdorp,84,ZA,1566515853,93,-34.53,20.04,282.59,1.57
29,Chiredzi,0,ZW,1566515855,76,-21.05,31.67,286.1,0.25
30,New Norfolk,20,AU,1566515856,56,-42.78,147.06,283.15,3.6
31,Raudeberg,100,NO,1566515857,76,61.99,5.14,286.15,8.7
32,Bluff,0,AU,1566515858,48,-23.58,149.07,292.0,8.16
33,Xinxiang,71,CN,1566515859,73,35.3,113.88,295.4,0.43
34,Acapulco,40,MX,1566515861,70,16.86,-99.88,303.15,3.1
35,Kushtagi,100,IN,1566515862,86,15.76,76.19,295.3,5.65
36,Dimbokro,94,CI,1566515724,96,6.65,-4.7,294.4,1.83
37,Tatvan,0,TR,1566515865,54,38.5,42.28,287.2,1.06
38,Cape Town,0,ZA,1566515633,93,-33.93,18.42,287.59,5.1
39,Castro,0,CL,1566515867,87,-42.48,-73.76,282.15,1.0
40,Quzhou,4,CN,1566515868,76,28.97,118.86,301.1,0.81
41,Bilibino,9,RU,1566515869,51,68.06,166.44,283.4,1.1
42,Puerto Ayora,0,EC,1566515871,61,-0.74,-90.35,298.15,2.1
43,Manggar,99,ID,1566515872,69,-2.88,108.27,299.6,2.72
44,Busselton,23,AU,1566515763,78,-33.64,115.35,282.59,12.05
45,East London,29,ZA,1566515636,33,-33.02,27.91,288.1,1.95
46,Nikolskoye,0,RU,1566515806,87,59.7,30.79,287.04,2.0
47,Zharkent,19,KZ,1566515877,76,44.17,80.0,280.7,0.35
48,Kloulklubed,90,PW,1566515878,94,7.04,134.26,299.15,2.5
49,Upernavik,9,GL,1566515879,63,72.79,-56.15,277.2,1.91
50,Ambon,0,FR,1566515881,77,47.55,-2.56,292.15,4.1
51,Kapaa,90,US,1566515704,70,22.08,-159.32,305.15,8.7
52,Mar del Plata,48,AR,1566515771,64,-46.43,-67.52,280.3,4.95
53,Port Alfred,69,ZA,1566515712,90,-33.59,26.89,290.37,0.45
54,Faya,0,SA,1566515885,72,18.39,42.45,294.15,1.21
55,Dingle,100,PH,1566515886,85,11.0,122.67,298.9,2.69
56,Nanortalik,97,GL,1566515761,95,60.14,-45.24,276.0,1.7
57,Yellowknife,90,CA,1566515889,93,62.45,-114.38,283.15,6.7
58,Salalah,75,OM,1566515890,88,17.01,54.1,299.15,2.1
59,Wewak,92,PG,1566515745,67,-3.55,143.63,301.1,1.65
60,Kavieng,97,PG,1566515893,83,-2.57,150.8,300.6,6.2
61,Hobyo,22,SO,1566515894,72,5.35,48.53,298.0,8.98
62,Trairi,14,BR,1566515895,88,-3.28,-39.27,294.4,2.17
63,Port Hardy,90,CA,1566515897,82,50.7,-127.42,288.15,3.1
64,Hasaki,75,JP,1566515898,83,35.73,140.83,301.15,5.7
65,Rotifunk,99,SL,1566515899,96,8.23,-12.68,295.7,0.4
66,Port-Gentil,20,GA,1566515900,88,-0.72,8.78,298.15,5.7
67,Mount Gambier,90,AU,1566515902,81,-37.83,140.78,282.15,3.6
68,Saskylakh,84,RU,1566515903,84,71.97,114.09,282.4,1.54
69,Vanavara,60,RU,1566515904,83,60.35,102.28,285.0,1.09
70,Tuktoyaktuk,75,CA,1566515905,81,69.44,-133.03,279.15,1.5
71,Hofn,98,IS,1566515907,96,64.25,-15.21,277.5,2.69
72,Fort Abbas,0,PK,1566515908,31,29.19,72.85,306.5,5.32
73,Severo-Kurilsk,80,RU,1566515909,94,50.68,156.12,282.4,4.14
74,Arraial do Cabo,75,BR,1566515911,68,-22.97,-42.02,292.15,3.1
75,Portland,40,US,1566515723,78,43.66,-70.25,300.15,2.6
76,Porto Novo,75,BR,1566515913,77,-23.68,-45.44,289.15,6.7
77,Uray,84,RU,1566515914,94,60.13,64.8,286.8,1.92
78,Powell River,20,CA,1566515915,60,49.84,-124.52,295.37,3.6
79,Erenhot,41,CN,1566515917,33,43.65,111.97,292.1,5.98
80,Kununurra,26,AU,1566515918,67,-15.77,128.74,287.15,7.74
81,Punto Fijo,3,VE,1566515919,83,11.69,-70.21,300.8,11.6
82,Kodiak,40,US,1566515805,73,39.95,-94.76,299.82,4.1
83,Vila Velha,0,BR,1566515732,74,-3.71,-38.6,299.15,4.1
84,Wembley,75,CA,1566515923,39,55.15,-119.14,290.15,7.2
85,Honiara,75,SB,1566515924,100,-9.43,159.96,298.15,2.1
86,Ternate,75,PH,1566515925,78,14.29,120.72,302.59,3.1
87,Vila Franca do Campo,75,PT,1566515926,94,37.72,-25.43,296.15,7.2
88,Kingaroy,3,AU,1566515859,62,-26.54,151.84,290.93,5.7
89,Pryazha,0,RU,1566515929,87,61.69,33.62,286.15,4.0
90,Maroantsetra,100,MG,1566515930,99,-15.43,49.74,290.5,2.07
91,Chuy,50,UY,1566515931,88,-33.69,-53.46,282.5,1.65
92,Caravelas,20,BR,1566515932,72,-17.73,-39.27,295.1,5.62
93,Quelimane,20,MZ,1566515934,93,-17.88,36.89,290.15,1.0
94,Yulara,0,AU,1566515935,51,-25.24,130.99,277.15,2.6
95,Tingo Maria,20,PE,1566515936,55,-9.29,-76.01,303.15,5.1
96,Atuona,16,PF,1566515937,71,-9.8,-139.03,299.6,7.83
97,Port Macquarie,90,AU,1566515939,58,-31.43,152.91,290.37,3.6
98,Vryburg,0,ZA,1566515940,62,-26.96,24.73,280.5,0.4
99,Pleshanovo,23,RU,1566515941,93,57.46,28.17,282.15,1.0
100,Hermanus,46,ZA,1566515942,95,-34.42,19.24,284.82,4.54
101,Matara,2,BI,1566515944,69,-3.48,29.48,284.1,0.55
102,Touros,20,BR,1566515945,83,-5.2,-35.46,297.15,2.6
103,Barry,90,GB,1566515946,93,51.4,-3.27,290.37,3.6
104,Nouakchott,20,MR,1566515948,88,18.08,-15.98,300.15,2.1
105,Richards Bay,0,ZA,1566515778,74,-28.77,32.06,292.4,6.3
106,Khatanga,7,RU,1566515788,73,71.98,102.47,285.6,2.37
107,Chokurdakh,100,RU,1566515715,80,70.62,147.9,283.4,2.9
108,Jiuquan,80,CN,1566515952,42,39.73,98.49,291.9,1.84
109,Avarua,0,CK,1566515864,69,-21.21,-159.78,299.15,7.7
110,Atar,0,MR,1566515954,39,20.52,-13.05,306.4,4.77
111,Bethel,1,US,1566515756,59,60.79,-161.76,290.15,4.1
112,Tiksi,98,RU,1566515804,96,71.64,128.87,280.7,2.86
113,Verkhoyansk,87,RU,1566515958,69,67.55,133.39,287.9,0.93
114,Lebu,75,ET,1566515778,87,8.96,38.73,288.15,2.1
115,Sioux Lookout,90,CA,1566515961,59,50.1,-91.92,290.15,2.6
116,Colares,0,PT,1566515962,41,38.8,-9.45,299.15,3.6
117,Muros,0,ES,1566515963,60,42.77,-9.06,298.15,2.1
118,Vaini,98,IN,1566515964,90,15.34,74.49,297.0,0.63
119,Seoul,75,KR,1566515541,94,37.57,126.98,297.15,0.5
120,Cidreira,93,BR,1566515967,80,-30.17,-50.22,286.4,3.37
121,Lasa,0,CY,1566515968,78,34.92,32.53,299.15,2.6
122,Victoria,75,BN,1566515704,83,5.28,115.24,300.15,2.89
123,Kawalu,85,ID,1566515970,90,-7.38,108.21,292.5,2.27
124,Oranjemund,0,ZA,1566515971,58,-28.55,16.43,289.6,4.19
125,Oruro,18,BO,1566515973,43,-17.97,-67.11,283.7,8.34
126,Vardo,75,US,1566515791,83,39.62,-77.74,303.71,3.6
127,Airai,32,TL,1566515975,50,-8.93,125.41,298.8,0.88
128,Petropavlovsk-Kamchatskiy,40,RU,1566515976,72,53.05,158.65,289.15,2.0
129,Kruisfontein,68,ZA,1566515728,83,-34.0,24.73,284.2,1.9
130,West Wendover,1,US,1566515763,17,40.74,-114.07,305.15,6.2
131,Bull Savanna,87,JM,1566515980,73,17.89,-77.59,301.8,0.4
132,Torredonjimeno,0,ES,1566515981,61,37.76,-3.95,298.15,1.0
133,Torbay,90,CA,1566515982,100,47.66,-52.73,290.15,6.7
134,Naze,100,NG,1566515984,96,5.43,7.07,296.2,3.13
135,Bar Harbor,1,US,1566515970,88,44.39,-68.2,295.93,4.1
136,Hami,0,CN,1566515779,26,42.84,93.51,296.6,2.07
137,Komsomolskiy,69,RU,1566515987,96,67.55,63.78,281.4,2.75
138,Waingapu,14,ID,1566515988,72,-9.65,120.26,296.3,5.36
139,Sorland,37,NO,1566515990,87,67.67,12.69,285.0,5.27
140,Argelia,40,CO,1566515991,57,4.73,-76.12,304.15,2.6
141,Marshall,1,US,1566515766,41,32.54,-94.37,308.71,1.42
142,Langsa,100,ID,1566515993,93,4.47,97.97,293.8,1.41
143,Pershotravneve,94,UA,1566515995,84,51.38,28.88,287.9,2.77
144,Sovetskiy,60,RU,1566515996,92,56.76,48.47,287.1,4.51
145,Isparta,0,TR,1566515997,60,37.77,30.56,295.15,4.1
146,Manta,78,RO,1566515999,55,45.1,24.1,294.1,1.34
147,Qaanaaq,93,GL,1566515680,70,77.48,-69.36,274.7,3.11
148,Grinnell,1,US,1566516001,64,41.74,-92.72,298.71,2.6
149,Iqaluit,40,CA,1566516006,38,63.75,-68.52,288.15,5.7
150,Cockburn Town,75,TC,1566516007,80,21.46,-71.14,301.7,7.72
151,Kudahuvadhoo,100,MV,1566516008,70,2.67,72.89,301.1,3.45
152,Hokitika,24,NZ,1566516010,66,-42.72,170.96,284.7,4.93
153,Matucana,37,PE,1566516011,61,-11.84,-76.39,284.2,0.53
154,Conde,0,BR,1566516012,96,-11.81,-37.61,291.9,1.42
155,Zhicheng,82,CN,1566516013,64,35.04,112.59,297.7,0.32
156,Barrow,0,AR,1566515717,73,-38.31,-60.23,280.2,0.49
157,Bilsanda,87,IN,1566516016,81,28.25,79.95,298.2,0.57
158,Cabo San Lucas,90,MX,1566516013,83,22.89,-109.91,300.93,8.7
159,Casablanca,0,MA,1566516018,78,33.6,-7.62,298.15,1.76
160,Dubbo,0,AU,1566515923,57,-32.25,148.6,282.15,3.6
161,Huarmey,41,PE,1566516021,91,-10.07,-78.15,288.2,3.79
162,Iwanai,100,JP,1566516022,94,42.97,140.51,290.5,2.45
163,Guisa,75,CU,1566516024,66,20.25,-76.54,303.15,5.1
164,Flinders,0,AU,1566516025,57,-34.58,150.85,285.37,2.68
165,Saint-Philippe,40,CA,1566516026,69,45.36,-73.48,298.15,5.68
166,Chiang Kham,75,TH,1566516027,100,19.53,100.3,296.15,2.1
167,Ambulu,11,ID,1566516028,87,-8.35,113.61,295.4,2.06
168,Ilulissat,40,GL,1566515836,70,69.22,-51.1,281.15,2.6
169,Aloleng,100,PH,1566516031,75,16.13,119.78,301.4,4.58
170,Deputatskiy,54,RU,1566516033,63,69.3,139.9,287.6,1.2
171,Lupiro,59,TZ,1566516034,48,-8.39,36.67,296.1,1.33
172,Kaeo,100,NZ,1566516035,100,-35.1,173.78,286.48,4.07
173,Mulchen,0,CL,1566516036,87,-37.72,-72.23,286.15,0.87
174,Butaritari,92,KI,1566516038,73,3.07,172.79,302.4,5.35
175,Cherskiy,0,RU,1566516039,55,68.75,161.3,286.0,1.82
176,Bilma,69,NE,1566516040,45,18.69,12.92,304.0,3.21
177,Norman Wells,40,CA,1566515901,54,65.28,-126.83,287.15,6.7
178,Bacabal,10,BR,1566516043,88,-4.23,-44.78,297.0,2.29
179,Peterhead,0,AU,1566516044,76,-34.83,138.5,285.93,4.1
180,Alice Springs,0,AU,1566516045,45,-23.7,133.88,280.15,2.1
181,Bellmead,40,US,1566516047,30,31.59,-97.11,310.15,4.1
182,Abay,0,KZ,1566516048,93,49.63,72.87,278.15,2.0
183,Ayan,0,IR,1566516049,39,38.23,44.7,284.6,1.74
184,Bolivar,1,US,1566515830,78,37.61,-93.41,299.26,1.5
185,Fortuna,40,US,1566516052,72,40.6,-124.16,294.26,8.7
186,Tasiilaq,100,GL,1566516053,75,65.61,-37.64,278.15,2.6
187,Bubaque,74,GW,1566516054,82,11.28,-15.83,299.4,10.86
188,Padang,73,ID,1566516056,85,-0.92,100.36,300.1,8.43
189,Ushtobe,0,KZ,1566516057,60,45.25,77.98,289.5,4.61
190,Svetlogorsk,8,RU,1566516058,87,53.14,59.15,285.15,2.0
191,Aldan,96,RU,1566516059,84,58.61,125.39,288.5,0.92
192,Christchurch,29,NZ,1566516061,50,-43.53,172.64,288.71,4.6
193,Nome,40,US,1566516062,62,30.04,-94.42,306.48,5.1
194,Yumen,38,CN,1566515794,36,40.29,97.04,292.3,0.5
195,Thompson,20,CA,1566516064,55,55.74,-97.86,291.15,5.1
196,Berlevag,98,NO,1566516066,84,70.86,29.09,280.3,9.91
197,Gainesville,1,US,1566516067,55,29.65,-82.33,306.15,4.6
198,Hailar,68,CN,1566516068,84,49.2,119.7,288.8,2.5
199,Isangel,75,VU,1566516069,69,-19.55,169.27,298.15,2.1
200,Taywarah,0,AF,1566516070,31,33.35,64.42,285.3,3.34
201,Borazjan,3,IR,1566516072,74,29.27,51.21,304.15,1.36
202,Orocue,38,CO,1566516073,74,4.79,-71.34,299.7,1.81
203,Provideniya,75,RU,1566516074,66,64.42,-173.23,285.15,4.0
204,Geraldton,90,CA,1566516076,67,49.72,-86.95,288.15,5.7
205,Lichuan,8,CN,1566516077,72,30.3,108.94,297.0,1.58
206,Bacalar,40,MX,1566516078,70,18.68,-88.39,304.15,5.1
207,Saint-Joseph,0,FR,1566515905,73,43.56,6.97,297.15,1.5
208,Hobart,20,AU,1566516080,56,-42.88,147.33,283.15,3.6
209,Najran,0,SA,1566516082,22,17.54,44.22,299.15,0.84
210,Oroquieta,100,PH,1566516083,62,8.49,123.8,300.6,3.09
211,Nuevo Imperial,42,PE,1566516084,90,-13.08,-76.32,287.8,1.5
212,Bunia,5,CD,1566516086,97,1.56,30.25,289.8,0.41
213,Cumpas,31,MX,1566516087,66,30.0,-109.78,300.5,3.91
214,Port Lincoln,0,AU,1566516088,72,-34.72,135.86,285.8,8.82
215,Pereslavl-Zalesskiy,0,RU,1566516089,96,56.74,38.86,283.7,1.95
216,Bathsheba,40,BB,1566515845,74,13.22,-59.52,301.15,4.6
217,Lorengau,100,PG,1566516092,83,-2.02,147.27,300.3,4.67
218,Kamaishi,75,JP,1566516093,88,39.28,141.86,297.15,1.0
219,Suba,0,CN,1566516095,88,28.73,103.51,293.0,1.3
220,Zhenlai,100,CN,1566516096,52,45.84,123.2,296.48,1.79
221,El Sauzal,0,AR,1566516097,51,-24.3,-64.96,288.15,1.0
222,Katsuura,75,JP,1566516099,94,33.93,134.5,300.37,1.5
223,Meulaboh,40,ID,1566516100,78,4.14,96.13,300.4,3.65
224,Binga,0,ZW,1566516102,62,-17.62,27.34,285.1,1.32
225,Agadez,77,NE,1566516103,52,16.97,7.99,302.9,5.47
226,Luderitz,0,NA,1566516104,24,-26.65,15.16,295.15,1.0
227,Sistranda,75,NO,1566516106,87,63.73,8.83,286.48,3.1
228,Codrington,75,AU,1566516107,81,-28.95,153.24,287.15,1.0
229,Aksu,0,KZ,1566516108,93,52.04,76.93,283.15,3.0
230,San Patricio,41,PY,1566516110,94,-26.98,-56.83,284.1,2.1
231,Paka,100,CF,1566516111,97,4.15,15.03,292.4,0.19
232,Paamiut,39,GL,1566516075,91,61.99,-49.67,277.9,9.53
233,Pauini,59,BR,1566516113,56,-7.71,-67.0,299.8,0.35
234,Petlad,40,IN,1566516115,83,22.48,72.8,300.15,1.5
235,Daru,96,PG,1566516116,77,-9.07,143.21,297.9,3.65
236,Lavrentiya,99,RU,1566516117,79,65.58,-170.99,279.6,6.39
237,Olinda,0,AU,1566516118,75,-37.84,145.39,282.59,5.1
238,Rocha,19,UY,1566516086,87,-34.48,-54.34,279.2,0.73
239,Longyearbyen,75,NO,1566515781,71,78.22,15.63,277.15,0.5
240,Shelburne,20,CA,1566516122,56,44.08,-80.2,293.15,4.6
241,Carballo,0,ES,1566516123,83,43.21,-8.69,297.15,2.1
242,Turayf,0,SA,1566516125,30,31.68,38.65,300.15,4.1
243,Mungwi,0,ZM,1566516126,61,-10.17,31.37,282.8,1.73
244,Zhezkazgan,66,KZ,1566516127,71,47.8,67.71,286.15,5.0
245,Tambacounda,75,SN,1566516129,94,13.77,-13.67,298.15,5.1
246,Saint Anthony,1,US,1566516130,38,43.97,-111.68,296.15,6.2
247,Nabire,100,ID,1566516097,95,-3.36,135.5,295.0,1.64
248,Srivardhan,12,IN,1566516132,85,18.03,73.02,298.4,2.66
249,Ayorou,100,NE,1566516134,65,14.73,0.92,300.4,2.0
250,Sardulgarh,7,IN,1566516135,69,29.7,75.25,300.6,2.22
251,Yatou,75,CM,1566516136,100,3.63,9.81,297.15,1.0
252,Taoudenni,19,ML,1566516138,30,22.68,-3.98,310.1,10.22
253,Rize,75,TR,1566516139,83,41.02,40.52,297.15,4.6
254,Hachinohe,75,JP,1566516140,100,40.47,141.48,295.37,3.6
255,Georgetown,20,GY,1566516141,79,6.8,-58.16,302.15,3.1
256,Inawashiro,75,JP,1566516143,100,37.55,140.1,297.15,2.6
257,Ancud,0,CL,1566516093,100,-41.87,-73.83,280.15,2.93
258,Oktyabrskoye,0,RU,1566516145,93,56.73,85.44,283.15,2.0
259,Esperance,90,AU,1566515984,100,-33.86,121.89,285.15,10.8
260,Luba,84,PH,1566516147,83,17.32,120.7,299.2,1.06
261,Tallahassee,75,US,1566516088,74,30.44,-84.28,305.15,2.1
262,Guerrero Negro,0,MX,1566516150,74,27.97,-114.04,295.2,6.17
263,Zhigansk,100,RU,1566516151,79,66.77,123.37,286.8,2.57
264,Baherden,0,TM,1566516152,25,38.44,57.43,295.9,2.29
265,Nouadhibou,12,MR,1566516154,78,20.93,-17.03,295.15,2.6
266,Vung Tau,99,VN,1566516155,84,10.35,107.08,299.4,2.53
267,Husavik,0,CA,1566516156,38,50.56,-96.99,297.04,2.24
268,Pandan,100,PH,1566516157,79,11.72,122.09,300.6,10.62
269,Dzilam Gonzalez,21,MX,1566516159,79,21.28,-88.93,303.15,4.92
270,Sur,39,OM,1566516160,64,22.57,59.53,299.7,4.18
271,Vredendal,1,ZA,1566516161,71,-31.68,18.49,288.9,6.04
272,Jinka,100,ET,1566516162,76,5.79,36.57,292.6,1.41
273,Duldurga,0,RU,1566516164,79,50.67,113.59,287.2,0.2
274,Udarnyy,99,RU,1566516165,90,54.34,42.86,288.2,4.58
