,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,Palafrugell,0,ES,1566516166,77,41.92,3.16,295.93,1.26
276,Riverdale,20,US,1566516167,40,33.57,-84.41,306.48,4.6
277,Zwedru,71,LR,1566516169,97,6.07,-8.13,293.9,1.26
278,Daoukro,98,CI,1566516170,96,7.06,-3.97,295.1,1.7
279,Henties Bay,0,NA,1566516171,89,-22.12,14.28,287.59,2.36
280,Sao Filipe,50,CV,1566516173,75,14.9,-24.5,298.0,4.63
281,Lata,73,IN,1566516174,84,30.78,78.62,280.1,1.31
282,Gayeri,100,BF,1566516175,91,12.65,0.49,295.5,3.17
283,Moctezuma,31,MX,1566516176,66,29.81,-109.68,300.5,3.91
284,Grojdibodu,0,RO,1566516178,53,43.76,24.27,296.15,4.1
285,Maunabo,75,PR,1566516179,83,18.01,-65.9,301.15,4.1
286,Port Hedland,0,AU,1566516180,37,-20.31,118.58,286.15,4.1
287,Ixtapa,90,MX,1566516050,63,20.71,-105.21,307.15,2.1
288,San Cristobal,51,HN,1566516182,61,14.68,-86.92,297.2,2.59
289,San Luis,0,AR,1566516184,35,-33.3,-66.34,288.9,5.0
290,Lompoc,75,US,1566516108,82,34.64,-120.46,302.04,6.7
291,Shakawe,0,BW,1566516186,30,-18.36,21.84,284.7,3.09
292,Fougamou,95,GA,1566516187,84,-1.22,10.59,296.1,1.7
293,Mirnyy,0,RU,1566516188,91,56.57,36.46,284.0,1.89
294,Rio Grande,0,BR,1566516190,82,-32.03,-52.1,286.15,3.1
295,Dondo,0,MZ,1566516191,60,-19.62,34.74,294.15,1.0
296,Pio IX,0,BR,1566516192,33,-6.83,-40.61,296.3,2.12
297,Teocuitatlan de Corona,75,MX,1566516193,50,20.09,-103.38,298.15,1.5
298,Berezovyy,100,RU,1566516195,96,51.67,135.7,284.6,1.02
299,Corsicana,1,US,1566516196,37,32.09,-96.46,310.15,4.6
300,Smithers,75,CA,1566516164,51,54.78,-127.17,288.15,2.1
301,Kyaikkami,100,MM,1566516198,86,16.08,97.57,299.8,4.59
302,Kupang,20,ID,1566516200,73,-10.16,123.6,295.15,3.6
303,Nyurba,78,RU,1566516201,93,63.29,118.35,286.1,1.35
304,Jati,66,PK,1566516202,70,24.35,68.27,300.5,6.09
305,Eyl,0,SO,1566516203,63,7.98,49.82,298.8,12.63
306,Ukiah,1,US,1566516008,29,39.15,-123.21,309.26,5.1
307,Port Elizabeth,1,US,1566516206,58,39.31,-74.98,305.37,1.5
308,Coolum Beach,60,AU,1566516207,62,-26.53,153.09,289.82,1.79
309,Trincomalee,100,LK,1566516208,75,8.58,81.23,299.2,4.16
310,Kaitangata,94,NZ,1566516209,74,-46.28,169.85,283.71,0.89
311,Gizo,20,IL,1566516211,78,31.8,34.94,300.15,2.6
312,Pisco,0,PE,1566516212,30,-13.71,-76.2,295.15,4.6
313,Westport,75,US,1566516090,69,41.14,-73.36,301.48,4.1
314,General Mamerto Natividad,90,PH,1566516214,94,15.6,121.05,297.15,2.1
315,Saryg-Sep,48,RU,1566516216,67,51.49,95.55,285.3,1.64
316,Santa Cruz de Tenerife,40,ES,1566516050,100,28.47,-16.25,297.59,6.2
317,Veraval,0,FR,1566516218,82,49.65,0.71,288.15,1.0
318,Tura,24,RU,1566516219,65,64.27,100.22,286.4,1.25
319,Mgandu,14,TZ,1566516221,70,-5.96,34.11,288.3,4.44
320,Kahului,20,US,1566516222,55,20.89,-156.47,305.15,10.8
321,Harnosand,100,SE,1566516223,93,62.63,17.94,287.59,3.1
322,Nefteyugansk,0,RU,1566516224,100,61.09,72.61,284.15,3.5
323,Clyde River,20,CA,1566516226,81,70.47,-68.59,280.15,3.1
324,Maskinonge,1,CA,1566516227,41,46.23,-73.02,297.15,3.6
325,Halifax,40,CA,1566515501,65,44.65,-63.58,299.82,2.6
326,Faanui,27,PF,1566516229,76,-16.48,-151.75,298.6,5.6
327,Mitsamiouli,6,KM,1566516231,83,-11.38,43.28,298.0,10.28
328,Sibolga,90,ID,1566516232,80,1.74,98.78,300.1,3.59
329,Ahipara,100,NZ,1566516233,100,-35.17,173.16,285.37,7.86
330,Bullhead City,75,US,1566516170,8,35.15,-114.57,317.15,8.7
331,Filingue,96,NE,1566516236,77,14.35,3.32,299.2,3.08
332,Severodvinsk,90,RU,1566516237,100,64.56,39.82,285.15,3.0
333,Menongue,0,AO,1566516238,48,-14.66,17.68,284.9,2.89
334,Gat,20,SN,1566516239,88,14.69,-16.54,300.15,2.1
335,Shenjiamen,0,CN,1566516241,81,29.96,122.3,301.1,1.67
336,Hervey Bay,23,AU,1566516242,52,-25.3,152.85,297.04,7.7
337,Gwanda,0,ZW,1566516244,74,-20.94,29.0,282.9,1.98
338,High Level,75,CA,1566516245,36,58.52,-117.13,290.15,3.6
339,La Tuque,49,CA,1566516246,72,47.44,-72.79,287.1,2.27
340,Stromness,1,CA,1566516247,56,42.87,-79.55,296.48,2.6
341,Dodge City,1,US,1566516249,48,37.75,-100.02,301.48,7.2
342,Narsaq,2,GL,1566516250,70,60.91,-46.05,280.15,2.1
343,Chuguyevka,90,RU,1566516251,85,44.17,133.87,292.5,0.1
344,Sri Aman,100,MY,1566516253,94,1.24,111.46,297.15,0.5
345,Polunochnoye,96,RU,1566516254,92,60.87,60.43,286.6,1.19
346,Homer,20,US,1566516255,76,59.64,-151.54,288.15,2.1
347,Tateyama,75,JP,1566516256,78,36.66,137.31,300.37,1.0
348,Griffith,0,AU,1566516258,75,-34.29,146.06,280.15,2.1
349,Plouzane,0,FR,1566516237,87,48.38,-4.62,288.15,3.1
350,Dalvik,20,SE,1566515983,77,57.79,14.13,288.71,3.6
351,Namatanai,100,PG,1566516261,91,-3.66,152.44,298.1,10.63
352,Ampanihy,0,MG,1566516262,79,-24.69,44.75,288.6,5.48
353,Havelock,75,US,1566516264,74,34.88,-76.9,303.15,5.1
354,Luquillo,75,PR,1566516134,83,18.37,-65.72,301.15,4.1
355,Moussoro,100,TD,1566516266,80,13.64,16.49,298.8,1.96
356,Gimli,0,CA,1566516270,38,50.63,-96.99,297.04,2.24
357,Juneau,90,US,1566516271,87,58.3,-134.42,284.15,8.7
358,Khorinsk,21,RU,1566516273,54,52.16,109.78,287.4,1.07
359,Saint George,0,GR,1566516274,56,39.45,22.34,296.15,0.3
360,Aklavik,75,CA,1566516124,70,68.22,-135.01,282.15,1.0
361,Baracoa,9,CU,1566516276,84,20.35,-74.5,301.2,5.89
362,Mehamn,98,NO,1566516278,85,71.03,27.85,279.1,6.59
363,Zaraza,100,VE,1566516279,91,9.35,-65.33,297.5,1.13
364,Chilmari,100,BD,1566516280,87,25.59,89.66,300.2,0.95
365,Naron,0,ES,1566516282,83,43.52,-8.15,296.48,2.1
366,Svetlopolyansk,100,RU,1566516283,94,59.42,52.36,287.7,4.7
367,Tanabe,75,JP,1566516284,88,33.73,135.39,301.15,2.6
368,Dicabisagan,100,PH,1566516285,90,17.08,122.42,298.5,1.96
369,Igarka,96,RU,1566516287,75,67.47,86.57,286.8,1.8
370,Dhidhdhoo,100,MV,1566516068,79,6.88,73.1,300.6,3.92
371,Havre-Saint-Pierre,90,CA,1566516289,82,50.23,-63.6,292.15,4.6
372,Houma,82,CN,1566516290,57,35.63,111.36,297.0,1.12
373,Shipitsyno,97,RU,1566516292,93,61.28,46.52,285.6,5.46
374,Tecoanapa,40,MX,1566516293,70,16.99,-99.26,303.15,3.1
375,Kargasok,8,RU,1566516294,96,59.06,80.87,283.9,1.44
376,Serra Talhada,1,BR,1566516296,76,-7.99,-38.29,294.5,7.35
377,Haines Junction,77,CA,1566515794,44,60.75,-137.51,284.0,3.88
378,Madison,75,US,1566516159,49,43.07,-89.38,297.15,4.6
379,Abu Kamal,0,SY,1566516299,35,34.45,40.92,299.1,4.1
380,Asosa,100,ET,1566516301,97,10.07,34.53,291.3,1.42
381,Marsh Harbour,69,BS,1566516302,71,26.54,-77.06,302.1,8.3
382,Ostrovnoy,100,RU,1566516303,88,68.05,39.51,284.0,3.27
383,Searcy,1,US,1566516305,83,35.25,-91.74,303.71,2.6
384,Kharabali,0,RU,1566516306,36,47.41,47.25,298.7,4.49
385,La Sarre,85,CA,1566516307,70,48.8,-79.2,286.0,3.3
386,Kenora,10,CA,1566516309,52,49.76,-94.48,292.15,2.1
387,Tsumeb,0,NA,1566516310,19,-19.25,17.72,286.3,5.17
388,Labuhan,90,ID,1566516311,70,-2.54,115.51,298.5,0.22
389,Noumea,0,NC,1566516045,49,-22.28,166.46,296.15,6.2
390,Mount Isa,0,AU,1566516314,25,-20.73,139.49,292.15,6.2
391,Dawlatabad,0,AF,1566516315,29,36.41,64.91,294.8,3.49
392,Payo,80,ID,1566516316,72,-3.75,103.64,292.7,1.43
393,Hinton,0,CA,1566516318,27,53.4,-117.57,289.5,2.41
394,Nara,75,JP,1566516319,88,34.68,135.8,301.15,4.1
395,Puerto Cabello,63,VE,1566516320,91,10.47,-68.01,297.4,0.58
396,Hirara,75,JP,1566516321,88,24.8,125.28,301.15,5.7
397,Takoradi,73,GH,1566516323,89,4.89,-1.75,296.4,2.47
398,Chalmette,75,US,1566516324,79,29.94,-89.96,304.15,4.6
399,Buala,100,SB,1566516325,80,-8.15,159.59,300.3,2.39
400,Rameswaram,100,IN,1566516306,72,9.28,79.3,300.5,7.59
401,Praia da Vitoria,75,PT,1566516328,100,38.73,-27.07,295.15,3.23
402,Andra,63,RU,1566516329,95,62.52,65.89,284.0,1.18
403,Pitimbu,0,BR,1566516330,88,-7.47,-34.81,296.15,3.1
404,Maku,0,IR,1566516332,31,39.29,44.45,286.6,0.23
405,Port Blair,100,IN,1566516333,80,11.67,92.75,301.4,12.67
406,Kawakawa,100,NZ,1566516334,92,-35.38,174.07,286.48,4.02
407,Sao Joao da Barra,90,BR,1566516335,93,-21.64,-41.05,292.15,1.5
408,San Vicente,75,EC,1566516336,83,-0.59,-80.41,296.15,2.6
409,Viedma,0,AR,1566516338,64,-40.81,-62.99,279.7,0.17
410,Pueblo Nuevo,0,AR,1566516339,41,-32.93,-68.73,288.15,1.5
411,Filadelfia,98,PY,1566516340,40,-22.35,-60.04,296.5,6.07
412,Broken Hill,0,AU,1566516342,66,-31.97,141.45,284.15,5.7
413,Birao,100,CF,1566516343,90,10.3,22.78,295.3,2.3
414,Sitka,16,US,1566516344,50,37.17,-99.65,301.48,3.58
415,San Andres,100,PH,1566516345,71,13.32,122.68,301.1,3.69
416,Maracas,20,TT,1566516347,74,10.76,-61.44,301.48,3.1
417,Avera,1,US,1566516348,52,33.19,-82.53,308.15,2.6
418,Hamilton,40,CA,1566516349,52,43.26,-79.87,296.48,5.1
419,Mabaruma,97,GY,1566516350,98,8.2,-59.78,296.9,1.13
420,Naryan-Mar,92,RU,1566516352,92,67.67,53.09,282.7,2.22
421,Kuching,75,MY,1566516353,100,1.56,110.34,297.15,0.31
422,Hambantota,100,LK,1566516354,77,6.12,81.12,300.6,9.23
423,Tilichiki,13,RU,1566516355,54,60.47,166.1,293.7,2.04
424,Pangnirtung,75,CA,1566516119,87,66.15,-65.72,281.15,2.6
425,Egvekinot,19,RU,1566516358,59,66.32,-179.17,282.4,3.23
426,Huron,1,US,1566516359,50,44.36,-98.21,300.15,4.1
427,Alugan,100,PH,1566516188,86,12.22,125.48,298.6,3.79
428,De-Kastri,82,RU,1566516362,73,51.48,140.77,289.1,2.42
429,Goroka,94,PG,1566516363,73,-6.07,145.39,290.9,1.51
430,Mae Hong Son,100,MM,1566516364,99,19.3,97.96,294.3,0.61
431,Jacareacanga,65,BR,1566516365,55,-6.22,-57.76,300.1,0.79
432,Keita,40,NG,1566516367,88,7.1,3.65,298.15,2.1
433,Tiznit,44,MA,1566516368,69,29.7,-9.73,295.4,3.51
434,Praia,0,BR,1566516369,68,-20.25,-43.81,292.15,5.1
435,Manama,0,AE,1566516371,55,25.33,56.02,308.15,2.1
436,Concord,1,US,1566516254,47,43.21,-71.54,300.37,3.6
437,Sidi Ali,0,DZ,1566516373,75,36.1,0.42,298.1,6.46
438,Grants,1,US,1566516374,12,35.15,-107.85,304.15,6.7
439,Ulaanbaatar,40,MN,1566516376,71,47.92,106.92,286.15,2.0
440,Saint-Marc-des-Carrieres,1,CA,1566516377,43,46.68,-72.05,297.15,4.1
441,Contamana,61,PE,1566516378,61,-7.35,-75.01,299.9,0.46
442,La Baneza,10,ES,1566516379,34,42.3,-5.9,291.48,1.5
443,Tayga,100,RU,1566516381,95,64.77,43.49,284.9,1.82
444,Seydi,58,NE,1566516382,69,13.34,7.75,298.9,3.32
445,Kambja,0,EE,1566516383,82,58.23,26.7,286.15,4.1
446,Maragogi,33,BR,1566516385,96,-9.01,-35.22,293.6,1.88
447,Saint-Pierre,0,FR,1566516386,72,48.95,4.24,289.15,3.1
448,Sisimiut,0,GL,1566516387,88,66.94,-53.67,278.4,3.8
449,Yaypan,3,UZ,1566516388,34,40.38,70.82,293.9,0.81
450,Lebowakgomo,0,ZA,1566516390,35,-24.3,29.54,286.15,3.6
451,Tazovskiy,65,RU,1566516392,77,67.47,78.7,282.1,2.64
452,Araouane,99,ML,1566516393,38,18.9,-3.53,307.7,6.0
453,Port Augusta,0,AU,1566516394,100,-32.49,137.76,283.15,2.1
454,Klaksvik,0,FO,1566516396,87,62.23,-6.59,284.15,3.1
455,Mahebourg,40,MU,1566516227,94,-20.41,57.7,293.15,3.6
456,Laguna,20,BZ,1566516399,70,16.17,-88.94,304.15,3.1
457,Constitucion,90,MX,1566516400,52,23.99,-104.67,294.82,10.3
458,Charlestown,75,US,1566516401,78,41.38,-71.64,302.04,1.5
459,Daule,75,EC,1566516402,78,-1.87,-79.98,296.48,6.7
460,Gujranwala,40,PK,1566516403,66,32.15,74.19,302.15,3.1
461,Liverpool,80,GB,1566515731,93,53.41,-2.98,290.93,2.6
462,Halmstad,99,SE,1566516210,88,56.67,12.86,290.37,1.5
463,Mangrol,59,IN,1566516407,78,25.33,76.51,299.3,2.69
464,Payson,75,US,1566516408,25,40.04,-111.73,304.15,7.2
465,Camacha,40,PT,1566516410,83,33.08,-16.33,294.15,3.1
466,Souillac,0,FR,1566516411,45,45.6,-0.6,294.82,1.5
467,Akdepe,0,TM,1566516412,50,42.05,59.39,297.15,3.1
468,Kano,0,NG,1566516413,83,11.99,8.53,298.15,2.6
469,Baykit,68,RU,1566516415,68,61.68,96.39,284.8,0.95
470,Pandamatenga,0,BW,1566516416,36,-18.54,25.64,285.6,4.29
471,Aleksandrov Gay,66,RU,1566516418,55,50.14,48.57,295.7,3.68
472,Fuerte Olimpo,69,BR,1566516419,42,-21.04,-57.87,302.0,8.21
473,Calama,0,CL,1566516420,5,-22.46,-68.93,292.15,5.7
474,Pacific Grove,75,US,1566516422,72,36.62,-121.92,305.93,5.7
475,Vao,94,EE,1566516423,86,59.1,26.19,285.8,3.66
476,Santa Rosa,8,AR,1566516424,50,-36.62,-64.29,284.4,3.49
477,Namibe,24,AO,1566516425,85,-15.19,12.15,291.7,6.01
478,Quatre Cocos,40,MU,1566516427,94,-20.21,57.76,293.15,3.6
479,Cedar City,1,US,1566516312,4,37.68,-113.06,305.15,9.3
480,Navrongo,100,GH,1566516429,95,10.89,-1.09,295.7,2.43
481,Timra,100,SE,1566516430,93,62.49,17.33,287.04,3.1
482,Beyneu,0,KZ,1566516432,42,45.32,55.19,299.2,6.68
483,Harrismith,16,ZA,1566516433,36,-28.27,29.13,281.1,1.21
484,Elko,75,US,1566516434,23,40.83,-115.76,302.59,4.6
485,Leningradskiy,99,RU,1566516436,87,69.38,178.42,277.3,8.05
486,Chapais,90,CA,1566516437,62,49.78,-74.86,288.15,5.1
487,Hima,31,UG,1566516438,84,0.3,30.18,283.4,1.53
488,Kieta,100,PG,1566516439,85,-6.22,155.63,298.7,2.84
489,Bambanglipuro,57,ID,1566516441,86,-7.95,110.28,296.2,6.87
490,Tautira,40,PF,1566516442,62,-17.73,-149.15,302.15,5.1
491,Pevek,67,RU,1566516443,90,69.7,170.27,275.0,2.86
492,Maumere,3,ID,1566516444,62,-8.63,122.22,298.5,1.32
493,Collie,45,AU,1566516446,77,-33.36,116.15,283.15,2.31
494,Champerico,75,MX,1566516447,43,16.38,-93.6,306.15,2.1
495,Hualmay,10,PE,1566516448,90,-11.1,-77.61,288.3,4.6
496,Aripuana,19,BR,1566516449,36,-9.17,-60.63,301.5,0.92
497,Golden,75,US,1566516451,17,39.76,-105.22,304.26,5.7
498,Okhotsk,100,RU,1566516452,84,59.36,143.24,286.7,2.8
499,Varhaug,75,NO,1566516453,87,58.61,5.65,289.26,6.2
500,Praya,20,ID,1566516454,94,-8.71,116.27,295.15,1.0
501,Iquique,90,CL,1566516456,72,-20.22,-70.14,288.15,3.6
502,Sedan,0,FR,1566516457,87,49.7,4.94,285.93,1.61
503,Arlit,11,NE,1566516458,51,18.74,7.39,302.8,5.61
504,Yanam,100,IN,1566516459,83,16.73,82.22,299.6,4.29
505,Nakusp,14,CA,1566516191,36,50.24,-117.8,297.59,1.79
506,Kato Mazarakion,0,GR,1566516462,83,38.07,21.65,302.15,1.77
507,Saint-Louis,100,SN,1566516463,100,16.03,-16.5,298.15,3.09
508,Surab,0,PK,1566516464,56,28.49,66.26,293.9,1.14
509,Ahar,0,IR,1566516465,42,38.48,47.07,288.3,1.61
510,Tete,40,MZ,1566516305,77,-16.16,33.59,292.15,2.6
511,Hay River,75,CA,1566516468,62,60.82,-115.79,287.15,8.2
512,Kandi,86,BJ,1566516469,97,11.13,2.93,294.8,1.89
513,Vuktyl,100,RU,1566516470,94,63.86,57.31,285.8,2.92
514,Benton Harbor,1,US,1566516472,56,42.12,-86.45,297.15,6.37
515,Cassilandia,63,BR,1566516473,36,-19.11,-51.73,298.7,4.22
516,Kutum,100,SD,1566516474,68,14.2,24.66,295.3,4.71
517,Poli,42,CM,1566516475,92,8.48,13.24,295.0,0.59
518,Tyup,14,KG,1566516477,75,42.73,78.36,276.6,2.46
519,Kamenka,9,MD,1566516478,80,48.03,28.7,290.37,2.93
520,Salta,0,AR,1566516336,41,-24.79,-65.41,289.15,2.1
521,Gerede,0,TR,1566516481,95,40.8,32.2,287.8,1.21
522,Verkhnevilyuysk,11,RU,1566516485,87,63.45,120.31,287.8,1.49
523,Tessalit,100,ML,1566516486,53,20.2,1.01,300.0,7.07
524,Byron Bay,90,AU,1566515722,47,-28.65,153.62,290.37,3.6
525,Saldanha,22,PT,1566516489,24,41.42,-6.55,294.5,1.95
526,Grindavik,75,IS,1566516241,93,63.84,-22.43,284.15,2.1
527,Vestmanna,0,FO,1566516491,87,62.16,-7.17,284.15,3.1
528,Leeton,0,AU,1566516492,75,-34.55,146.4,280.15,2.6
529,Hamada,75,JP,1566516493,88,34.9,132.08,299.26,4.6
530,Babusnica,0,RS,1566516495,64,43.07,22.41,295.15,2.1
531,Yar-Sale,93,RU,1566516496,92,66.83,70.83,284.0,4.68
532,Agapovka,8,RU,1566516497,93,53.3,59.13,284.15,2.0
533,Ferrol,0,ES,1566516499,88,43.48,-8.23,297.15,2.1
534,Kysyl-Syr,73,RU,1566516500,89,63.9,122.77,288.6,1.72
535,Nancha,100,CN,1566516501,96,47.14,129.26,287.4,1.42
536,Wanaka,66,NZ,1566516502,80,-44.7,169.14,280.37,0.45
537,Cap Malheureux,40,MU,1566516504,94,-19.98,57.61,293.15,3.6
538,Puli,20,TW,1566516505,88,23.97,120.97,301.48,1.0
539,Mpika,0,ZM,1566516506,67,-11.84,31.4,285.9,4.97
540,Mendi,100,ET,1566516507,96,9.8,35.1,290.2,2.29
541,Zhuhai,20,CN,1566516508,77,40.71,112.04,288.15,2.0
542,Qidong,0,CN,1566516510,49,31.81,121.66,305.93,2.8
543,Fort Smith,1,US,1566516511,47,35.39,-94.42,309.15,3.6
544,Smirnykh,100,RU,1566516512,82,49.74,142.83,284.5,2.27
545,Biak,100,ID,1566516514,95,-0.91,122.88,291.4,2.07
546,Borgosesia,0,IT,1566516515,88,45.72,8.28,295.37,3.1
547,Morant Bay,20,JM,1566516516,66,17.88,-76.41,303.15,5.1
548,Gurupi,12,BR,1566516274,23,-11.73,-49.07,303.0,1.78
549,Taltal,0,CL,1566516519,77,-25.41,-70.49,285.9,0.62
